Frame,Hand,Joint,X,Y,Z,Gesture
0,0,0,80.8028793334961,470.5831718444824,1.634130200045547e-07,test
0,0,1,103.55230331420898,446.253662109375,-0.011468781158328056,test
0,0,2,144.52825546264648,436.1993408203125,-0.028158623725175858,test
0,0,3,178.7514877319336,440.96652030944824,-0.04235309734940529,test
0,0,4,202.40436553955078,449.0119171142578,-0.055444058030843735,test
0,0,5,131.29180908203125,422.54490852355957,-0.06535161286592484,test
0,0,6,174.04071807861328,403.4377098083496,-0.09642647206783295,test
0,0,7,202.71846771240234,397.09324836730957,-0.11474031955003738,test
0,0,8,225.18798828125,390.95409393310547,-0.12615706026554108,test
0,0,9,120.79342842102051,443.69213104248047,-0.07450000196695328,test
0,0,10,183.74677658081055,457.5600814819336,-0.10690847039222717,test
0,0,11,176.2300682067871,465.57263374328613,-0.10877585411071777,test
0,0,12,157.9285717010498,463.37047576904297,-0.10623190551996231,test
0,0,13,113.70018005371094,468.75420570373535,-0.08181025832891464,test
0,0,14,173.73830795288086,482.27405548095703,-0.10238373279571533,test
0,0,15,165.5449676513672,485.89805603027344,-0.0853467509150505,test
0,0,16,148.4664821624756,483.5805130004883,-0.07079403102397919,test
0,0,17,109.87882614135742,492.4939727783203,-0.09038811177015305,test
0,0,18,158.7461280822754,499.88319396972656,-0.09650903940200806,test
0,0,19,152.5092601776123,501.4184761047363,-0.07866960018873215,test
0,0,20,136.01869583129883,498.93138885498047,-0.0651642233133316,test
0,0,0,85.66004753112793,470.4742240905762,2.9381047284005035e-07,test
0,0,1,107.52522468566895,444.5889186859131,-0.005410195328295231,test
0,0,2,148.4595775604248,428.58083724975586,-0.02201937325298786,test
0,0,3,184.476318359375,427.9880905151367,-0.03811311349272728,test
0,0,4,210.9015655517578,433.0767059326172,-0.05353790521621704,test
0,0,5,139.26226615905762,409.405574798584,-0.05229511857032776,test
0,0,6,181.46636962890625,388.3343696594238,-0.0836271122097969,test
0,0,7,211.9866943359375,378.9755344390869,-0.10259579867124557,test
0,0,8,235.41168212890625,371.1090660095215,-0.11470648646354675,test
0,0,9,133.45816612243652,432.4369525909424,-0.06516747176647186,test
0,0,10,194.20740127563477,441.3390254974365,-0.09941983968019485,test
0,0,11,181.31315231323242,455.9941005706787,-0.10120392590761185,test
0,0,12,161.2374496459961,457.0909881591797,-0.09746051579713821,test
0,0,13,129.14239883422852,461.9824504852295,-0.076187863945961,test
0,0,14,187.36867904663086,469.6863269805908,-0.09836738556623459,test
0,0,15,173.23131561279297,480.1570129394531,-0.07569791376590729,test
0,0,16,155.57167053222656,481.2880325317383,-0.05651035159826279,test
0,0,17,125.02193450927734,490.54698944091797,-0.08802678436040878,test
0,0,18,174.34820175170898,493.40417861938477,-0.09550973027944565,test
0,0,19,163.4571647644043,499.6626663208008,-0.07361314445734024,test
0,0,20,148.56144905090332,501.9364929199219,-0.05627363920211792,test
0,0,0,89.65768814086914,472.4278163909912,2.3411219274294126e-07,test
0,0,1,109.30387496948242,442.99120903015137,-0.007649129256606102,test
0,0,2,152.04105377197266,426.3860607147217,-0.025453492999076843,test
0,0,3,190.9734344482422,428.2680130004883,-0.04262709990143776,test
0,0,4,218.70105743408203,433.80701065063477,-0.05898350477218628,test
0,0,5,146.46333694458008,403.6205577850342,-0.050856925547122955,test
0,0,6,191.16544723510742,382.3836135864258,-0.07857413589954376,test
0,0,7,219.07190322875977,368.9259624481201,-0.09318263083696365,test
